run_id,binary_sha256,variant,backend,access,workload,parallelism,lanes,records,seed,repeat,warmup_requested,seconds_requested,valid,exit_code,error,setup_seconds,warmup_ops,operations,seconds,ops_per_second,p50_ns,p99_ns,errors,handoffs,rocksdb_granted,rocksdb_diverted,peak_rss_bytes,peak_threads_sampled,cpu_user_seconds,cpu_system_seconds,wall_seconds
tokio-rocksdb-sdk-mixed-p4-c16-r2-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,mixed,4,16,100000,20260917,2,3,10,True,0,,1.360848458,291653,953381,10.000252,95335.69754042198,137087,584191,0,0,4375800,391130,986005504,51,53.126759,5.841782,14.552478542000017
goexec-rocksdb-sdk-mixed-p4-c16-r2-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,mixed,4,16,100000,20260917,2,3,10,True,0,,1.3460793340000001,297010,958544,10.00026375,95851.87190687846,107519,770559,0,0,4399106,393639,987201536,54,53.387987,5.800434,14.545497042000079
goexec-blocking-rocksdb-sdk-mixed-p4-c16-r2-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,mixed,4,16,100000,20260917,2,3,10,True,0,,1.3300393750000001,294308,954719,10.000281042,95469.21691403401,87359,798207,0,11,4773620,0,985743360,64,52.694108,4.384744,14.533352957999796
goexec-rocksdb-sdk-range-p1-c1-r4-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,range,1,1,100000,20260917,4,3,10,True,0,,2.876848417,21965,72725,10.000123125,7272.41045844623,135679,165631,0,0,0,581821,264536064,48,12.588605,3.8174609999999998,15.938208250000116
goexec-blocking-rocksdb-sdk-range-p1-c1-r4-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,range,1,1,100000,20260917,4,3,10,True,0,,1.3389977499999999,32619,109487,10.000067083,10948.626553328493,89919,104703,0,0,875915,0,264601600,48,14.284524,0.939101,14.403875708000214
tokio-rocksdb-sdk-range-p1-c1-r4-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,range,1,1,100000,20260917,4,3,10,True,0,,3.185829667,21194,71099,10.000027208,7109.880655436712,138495,168319,0,0,0,568818,265060352,45,12.421923,3.772697,16.259895874999984
tokio-memory-sdk-update-p4-c16-r0-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,update,4,16,100000,20260917,0,3,10,True,0,,2.200112083,333542,1126073,10.00026325,112604.33569086294,98751,564735,0,0,0,0,4825874432,16,53.558569,1.01438,15.252162332999887
goexec-memory-sdk-update-p4-c16-r0-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,update,4,16,100000,20260917,0,3,10,True,0,,2.229910292,336899,1156105,10.000308875,115606.92919097461,65919,579583,0,0,0,0,4926128128,19,54.183082,1.152285,15.30012595800008
tokio-memory-sdk-range-p1-c4-r4-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,range,1,4,100000,20260917,4,3,10,True,0,,2.432228625,52316,173765,10.000168375,17376.20742810743,225919,262143,0,0,0,0,444203008,10,15.121053,0.225595,15.458494542000153
goexec-memory-sdk-range-p1-c4-r4-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,range,1,4,100000,20260917,4,3,10,True,0,,2.244368083,50780,170916,10.00017075,17091.308165913066,230783,265727,0,0,0,0,444383232,13,15.150811,0.407369,15.273737999999867
